Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ASTON MARTIN DBX 707,4,8,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SASXJ04.0AEX,standard SUV,4,15,20,17,3,No,537
ASTON MARTIN DBX 707,4,8,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SASXJ04.0AEX,standard SUV,4,15,20,17,3,No,537
ASTON MARTIN Vantage,4,8,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SASXJ04.0AEX,small car,4,15,22,18,4,No,498
ASTON MARTIN Vantage,4,8,Auto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SASXJ04.0AEX,small car,4,15,22,18,4,No,498
AUDI A3,2,4,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SVGAV02.0A3N,small car,6,24,34,28,6,No,318
AUDI A3,2,4,AMS-7,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SVGAV02.0A3N,small car,6,24,34,28,6,No,318
AUDI A4,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7E,small car,4,26,36,29,6,No,301
AUDI A4,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ02.0A7E,small car,4,26,36,29,6,No,301
AUDI A4 S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,small car,4,23,32,26,5,No,339
AUDI A4 S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ02.0A7G,small car,4,23,32,26,5,No,339
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,station wagon,4,23,30,26,5,No,346
AUDI A4 allroad quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ02.0A7G,station wagon,4,23,30,26,5,No,346
AUDI A5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,midsize car,4,23,32,26,5,No,339
AUDI A5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ02.0A7G,midsize car,4,23,32,26,5,No,339
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7E,midsize car,4,26,36,29,6,No,301
AUDI A5 Sportback quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ02.0A7E,midsize car,4,26,36,29,6,No,301
AUDI A6,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,midsize car,4,24,31,26,5,No,339
AUDI A6,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ02.0A7G,midsize car,4,24,31,26,5,No,339
AUDI A6,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,midsize car,4,22,30,25,5,No,356
AUDI A6,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7N,midsize car,4,22,30,25,5,No,356
AUDI A6 allroad quattro,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,station wagon,4,22,30,25,5,No,356
AUDI A6 allroad quattro,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7N,station wagon,4,22,30,25,5,No,356
AUDI A7,3,6,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,midsize car,4,22,30,25,5,No,356
AUDI A7,3,6,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7N,midsize car,4,22,30,25,5,No,356
AUDI A8 quattro,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAV03.0N7M,large car,4,20,26,22,5,No,414
AUDI A8 quattro,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAV03.0N7M,large car,4,20,26,22,5,No,414
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SVGAT02.0A5T,small SUV,5,22,29,25,5,No,360
AUDI Q3,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SVGAT02.0A5T,small SUV,5,22,29,25,5,No,360
AUDI Q5 Plug-In Hybrid quattro,2,4,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVGAT02.0A3P,small SUV,6,25/55,27/61,26/58,8,Yes,149
AUDI Q5 Plug-In Hybrid quattro,2,4,AMS-7,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SVGAT02.0A3P,small SUV,6,25/55,27/61,26/58,8,Yes,149
AUDI Q5 S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,small SUV,4,22,28,25,5,No,363
AUDI Q5 S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ02.0A7G,small SUV,4,22,28,25,5,No,363
AUDI Q5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,small SUV,4,22,28,25,5,No,363
AUDI Q5 Sportback S line quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ02.0A7G,small SUV,4,22,28,25,5,No,363
AUDI Q5 quattro,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7E,small SUV,4,23,29,26,5,No,346
AUDI Q5 quattro,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ02.0A7E,small SUV,4,23,29,26,5,No,346
AUDI Q6 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0B6B,standard SUV,10,102,89,95,10,Elite,0
AUDI Q6 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0B6B,standard SUV,10,105,93,99,10,Elite,0
AUDI Q6 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0B6B,standard SUV,10,102,89,95,10,Elite,0
AUDI Q6 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0B6B,standard SUV,10,105,93,99,10,Elite,0
AUDI Q7,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAT02.0A77,standard SUV,4,20,26,22,5,No,405
AUDI Q7,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAT02.0A77,standard SUV,4,20,26,22,5,No,405
AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,standard SUV,4,18,23,20,4,No,442
AUDI Q7,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7N,standard SUV,4,18,23,20,4,No,442
AUDI Q8 Sportback e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,0
AUDI Q8 Sportback e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,0
AUDI Q8 Sportback e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,0
AUDI Q8 Sportback e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,0
AUDI Q8 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,0
AUDI Q8 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,0
AUDI Q8 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,0
AUDI Q8 e-tron quattro,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZE,standard SUV,10,77,80,78,10,Elite,0
AUDI Q8 quattro,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,standard SUV,4,17,23,19,4,No,459
AUDI Q8 quattro,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7N,standard SUV,4,17,23,19,4,No,459
AUDI RS 5 Sportback,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7F,midsize car,4,18,25,20,4,No,438
AUDI RS 5 Sportback,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7F,midsize car,4,18,25,20,4,No,438
AUDI RS 6 Avant,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAJ04.0NAT,station wagon,2,14,21,17,3,No,538
AUDI RS 6 Avant,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SVGAJ04.0NAT,station wagon,2,14,21,17,3,No,538
AUDI RS 7,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAJ04.0NAT,midsize car,2,14,21,17,3,No,538
AUDI RS 7,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SVGAJ04.0NAT,midsize car,2,14,21,17,3,No,538
AUDI RS Q8 Performance,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAJ04.0NAT,standard SUV,2,14,20,16,3,No,547
AUDI RS Q8 Performance,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SVGAJ04.0NAT,standard SUV,2,14,20,16,3,No,547
AUDI S3,2,4,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAV02.0A7N,small car,4,23,31,26,5,No,344
AUDI S3,2,4,AMS-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAV02.0A7N,small car,4,23,31,26,5,No,344
AUDI S4,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7F,small car,4,20,29,24,5,No,377
AUDI S4,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7F,small car,4,20,29,24,5,No,377
AUDI S5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7F,midsize car,4,20,29,23,5,No,384
AUDI S5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7F,midsize car,4,20,29,23,5,No,384
AUDI S6,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,midsize car,4,19,27,22,5,No,408
AUDI S6,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7N,midsize car,4,19,27,22,5,No,408
AUDI S7,2.9,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,midsize car,4,19,27,22,5,No,408
AUDI S7,2.9,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7N,midsize car,4,19,27,22,5,No,408
AUDI S8,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAJ04.0NAT,large car,2,15,24,18,4,No,502
AUDI S8,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SVGAJ04.0NAT,large car,2,15,24,18,4,No,502
AUDI SQ5,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7F,small SUV,4,19,24,21,4,No,427
AUDI SQ5,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7F,small SUV,4,19,24,21,4,No,427
AUDI SQ5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7F,small SUV,4,19,24,21,4,No,427
AUDI SQ5 Sportback,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,SVGAJ03.0N7F,small SUV,4,19,24,21,4,No,427
AUDI SQ6 e-tron,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0B6B,standard SUV,10,96,82,89,10,Elite,0
AUDI SQ6 e-tron,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0B6B,standard SUV,10,96,82,89,10,Elite,0
AUDI SQ7,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAT04.0NAV,standard SUV,2,15,21,17,3,No,524
AUDI SQ7,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SVGAT04.0NAV,standard SUV,2,15,21,17,3,No,524
AUDI SQ8,4,8,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAT04.0NAV,standard SUV,2,15,21,17,3,No,518
AUDI SQ8,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SVGAT04.0NAV,standard SUV,2,15,21,17,3,No,518
AUDI SQ8 Sportback e-tron (20 in. wheels),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZS,standard SUV,10,68,72,70,10,Elite,0
AUDI SQ8 Sportback e-tron (20 in. wheels),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZS,standard SUV,10,68,72,70,10,Elite,0
AUDI SQ8 Sportback e-tron (21/22 in. wheels),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZS,standard SUV,10,59,60,60,10,Elite,0
AUDI SQ8 Sportback e-tron (21/22 in. wheels),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZS,standard SUV,10,59,60,60,10,Elite,0
AUDI SQ8 e-tron (20 in. wheels),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZS,standard SUV,10,68,72,70,10,Elite,0
AUDI SQ8 e-tron (20 in. wheels),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZS,standard SUV,10,68,72,70,10,Elite,0
AUDI SQ8 e-tron (21/22 in. wheels),N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZS,standard SUV,10,59,60,60,10,Elite,0
AUDI SQ8 e-tron (21/22 in. wheels),N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,SVGAT00.0AZS,standard SUV,10,59,60,60,10,Elite,0
BMW 230i Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV02.0M48,small car,2,26,35,30,6,No,296
BMW 230i Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,T3B125,Federal Tier 3 Bin 125,SBMXV02.0M48,small car,2,26,35,30,6,No,296
BMW 230i Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV02.0M48,small car,2,26,35,30,6,No,296
BMW 230i xDrive Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV02.0M48,small car,2,25,33,28,6,No,313
BMW 230i xDrive Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,T3B125,Federal Tier 3 Bin 125,SBMXV02.0M48,small car,2,25,33,28,6,No,313
BMW 230i xDrive Coupe,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,SBMXV02.0M48,small car,2,25,33,28,6,No,313
BMW 330i,2,4,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ02.0B4P,small car,7,28,35,31,6,No,286
BMW 330i,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXJ02.0B4P,small car,7,28,35,31,6,No,286
BMW 330i,2,4,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ02.0B4P,small car,7,26,34,29,6,No,298
BMW 330i,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXJ02.0B4P,small car,7,26,34,29,6,No,298
BMW 430i Convertible,2,4,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ02.0B4P,small car,7,27,35,30,6,No,295
BMW 430i Convertible,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXJ02.0B4P,small car,7,27,35,30,6,No,295
BMW 430i Convertible,2,4,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ02.0B4P,small car,7,24,33,28,6,No,316
BMW 430i Convertible,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXJ02.0B4P,small car,7,24,33,28,6,No,316
BMW 430i Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ02.0B4P,small car,7,28,36,31,6,No,285
BMW 430i Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXJ02.0B4P,small car,7,28,36,31,6,No,285
BMW 430i Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ02.0B4P,small car,7,27,34,30,6,No,294
BMW 430i Coupe,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXJ02.0B4P,small car,7,27,34,30,6,No,294
BMW 430i Gran Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ02.0B4P,small car,7,27,35,30,6,No,290
BMW 430i Gran Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXJ02.0B4P,small car,7,27,35,30,6,No,290
BMW 430i Gran Coupe,2,4,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ02.0B4P,small car,7,25,34,29,6,No,305
BMW 430i Gran Coupe,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B20,Federal Tier 3 Bin 20,SBMXJ02.0B4P,small car,7,25,34,29,6,No,305
BMW 530i,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXV02.0B4D,midsize car,6,28,35,31,6,No,285
BMW 530i,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXV02.0B4D,midsize car,6,28,35,31,6,No,285
BMW 530i,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXV02.0B4D,midsize car,6,27,35,30,6,No,292
BMW 530i,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXV02.0B4D,midsize car,6,27,35,30,6,No,292
BMW 540i,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,midsize car,6,26,33,28,6,No,307
BMW 540i,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B58,midsize car,6,26,33,28,6,No,307
BMW 550e,3,6,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXV03.0H5P,midsize car,6,23/64,26/70,24/67,9,Yes,135
BMW 550e,3,6,SemiAuto-8,4WD,Gasoline/Electricity,FA,T3B30,Federal Tier 3 Bin 30,SBMXV03.0H5P,midsize car,6,23/64,26/70,24/67,9,Yes,135
BMW 740i,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,large car,6,25,31,28,6,No,317
BMW 740i,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B58,large car,6,25,31,28,6,No,317
BMW 740i,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,large car,6,24,31,27,5,No,326
BMW 740i,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,SBMXJ03.0B58,large car,6,24,31,27,5,No,326
